NameRus,NameEng,Rating,Votes,Duration,Date,UserRating
"Типа крутые легавые 2007","Hot Fuzz","7.649","245088","121","17.07.2015, 09:28","0"
"Казино Рояль 2006","Casino Royale","7.763","190373","139","17.07.2015, 09:28","0"
"Три метра над уровнем неба 2010","Tres metros sobre el cielo","7.103","230917","123","17.07.2015, 09:28","0"
"Принц Персии: Пески времени 2010","Prince of Persia: The Sands of Time","7.330","351576","115","17.07.2015, 09:28","0"
"Без лица 1997","Face/Off","7.795","174578","138","17.07.2015, 09:28","0"
"Пиджак 2004","The Jacket","7.755","220053","102","17.07.2015, 09:27","0"
"Хэнкок 2008","Hancock","7.417","380899","92","17.07.2015, 09:27","0"
"Форсаж 5 2011","Fast Five","7.594","238772","130","17.07.2015, 09:27","0"
"Джуманджи 1995","Jumanji","7.881","274831","104","17.07.2015, 09:27","0"
"Терминатор 1984","The Terminator","7.980","318651","108","17.07.2015, 09:27","0"
"Люди Икс 2000","X-Men","7.681","255114","105","17.07.2015, 09:27","0"
"Апокалипсис 2006","Apocalypto","7.997","233217","139","17.07.2015, 09:26","0"
"Форсаж 2001","The Fast and the Furious","7.771","302888","106","17.07.2015, 09:26","0"
"Миллионер из трущоб 2008","Slumdog Millionaire","7.755","275363","120","17.07.2015, 09:26","0"
"Звёздные войны: Эпизод 2 – Атака клонов 2002","Star Wars: Episode II - Attack of the Clones","7.990","294071","142","17.07.2015, 09:26","0"
"Пираты Карибского моря: На странных берегах 2011","Pirates of the Caribbean: On Stranger Tides","7.320","398623","136","17.07.2015, 09:26","0"
"Пила: Игра на выживание 2004","Saw","7.829","177051","103","17.07.2015, 09:26","0"
"Железный человек 2 2010","Iron Man 2","7.460","466054","119","17.07.2015, 09:26","0"
"Люди Икс: Первый класс 2011","X-Men: First Class","7.659","267831","131","17.07.2015, 09:26","0"
"Грязные танцы 1987","Dirty Dancing","8.048","157686","100","17.07.2015, 09:26","0"
"Мумия 1999","The Mummy","7.826","357495","124","17.07.2015, 09:26","0"
"Красотка 1990","Pretty Woman","8.024","443697","115","17.07.2015, 09:26","0"
"Добро пожаловать в Zомбилэнд 2009","Zombieland","7.431","354033","84","17.07.2015, 09:25","0"
"Шаг вперед 2006","Step Up","7.610","150668","104","17.07.2015, 09:25","0"
"Чужой 1979","Alien","8.076","303671","116","17.07.2015, 09:25","0"
"Один дома 2: Затерянный в Нью-Йорке 1992","Home Alone 2: Lost in New York","8.027","594398","119","17.07.2015, 09:25","0"
"Армагеддон 1998","Armageddon","7.778","219887","144","17.07.2015, 09:24","0"
"Голодные игры 2012","The Hunger Games","7.258","426871","142","17.07.2015, 09:24","0"
"Такси 1998","Taxi","7.948","401175","86","17.07.2015, 09:24","0"
"Заводной апельсин 1971","A Clockwork Orange","7.903","163932","137","17.07.2015, 09:24","0"
"Дьявол носит Prada 2006","The Devil Wears Prada","7.691","598396","109","17.07.2015, 09:24","0"
"Скотт Пилигрим против всех 2010","Scott Pilgrim vs. the World","7.254","226950","112","17.07.2015, 09:24","0"
"Ледниковый период 2002","Ice Age","8.038","423267","81","17.07.2015, 09:24","0"
"Гарри Поттер и Орден Феникса 2007","Harry Potter and the Order of the Phoenix","7.830","499376","138","17.07.2015, 09:24","0"
"Чарли и шоколадная фабрика 2005","Charlie and the Chocolate Factory","7.621","514581","115","17.07.2015, 09:23","0"
"Исходный код 2011","Source Code","7.769","451874","93","17.07.2015, 09:23","0"
"Святые из Бундока 1999","The Boondock Saints","7.944","172734","109","17.07.2015, 09:23","0"
"Крепкий орешек 1988","Die Hard","8.044","318701","133","17.07.2015, 09:23","0"
"Брюс Всемогущий 2003","Bruce Almighty","7.746","536438","97","17.07.2015, 09:23","0"
"Правила съема: Метод Хитча 2005","Hitch","7.774","284250","117","17.07.2015, 09:23","0"
"Звёздные войны: Эпизод 4 – Новая надежда 1977","Star Wars","8.115","321163","121","17.07.2015, 09:23","0"
"Звёздные войны: Эпизод 1 – Скрытая угроза 1999","Star Wars: Episode I - The Phantom Menace","7.928","355320","136","17.07.2015, 09:23","0"
"Куда приводят мечты 1998","What Dreams May Come","7.924","148388","113","17.07.2015, 09:23","0"
"Убить Билла 2003","Kill Bill: Vol. 1","7.685","295485","111","17.07.2015, 09:23","0"
"Гарри Поттер и Принц-полукровка 2009","Harry Potter and the Half-Blood Prince","7.820","493951","153","17.07.2015, 09:23","0"
"Послезавтра 2004","The Day After Tomorrow","7.676","472437","124","17.07.2015, 09:22","0"
"Евротур 2004","EuroTrip","7.585","209327","90","17.07.2015, 09:22","0"
"Сумерки 2008","Twilight","6.696","371266","122","17.07.2015, 09:22","0"
"300 спартанцев 2007","300","7.643","270409","117","17.07.2015, 09:22","0"
"Большой Лебовски 1998","The Big Lebowski","7.802","298847","117","17.07.2015, 09:22","0"
"Мистер и миссис Смит 2005","Mr. & Mrs. Smith","7.538","338431","120","17.07.2015, 09:22","0"
"Рок-волна 2009","The Boat That Rocked","7.894","103729","129","17.07.2015, 09:22","0"
"Кокаин 2001","Blow","7.970","157818","123","17.07.2015, 09:22","0"
"Девушка с татуировкой дракона 2011","The Girl with the Dragon Tattoo","7.751","309375","158","17.07.2015, 09:22","0"
"Гарри Поттер и Кубок огня 2005","Harry Potter and the Goblet of Fire","7.950","531656","157","17.07.2015, 09:22","0"
"Брат 2 2000","","8.197","926908","127","17.07.2015, 09:22","0"
"Корпорация монстров 2001","Monsters, Inc.","8.129","516055","92","17.07.2015, 09:22","0"
"Трансформеры 2007","Transformers","7.593","391442","143","17.07.2015, 09:22","0"
"Я, робот 2004","I, Robot","7.831","438111","115","17.07.2015, 09:22","0"
"Гарри Поттер и Дары Смерти: Часть I 2010","Harry Potter and the Deathly Hallows - Part 1","7.895","481184","146","17.07.2015, 09:21","0"
"Рататуй 2007","Ratatouille","8.048","738784","111","17.07.2015, 09:21","0"
"Рок-н-рольщик 2008","RocknRolla","7.833","293608","114","17.07.2015, 09:21","0"
"Перл-Харбор 2001","Pearl Harbor","7.916","200513","183","17.07.2015, 09:21","0"
"Облачный атлас 2012","Cloud Atlas","7.748","314014","172","17.07.2015, 09:21","0"
"Бэтмен: Начало 2005","Batman Begins","7.929","359715","140","17.07.2015, 09:21","0"
"Люди в чёрном 1997","Men in Black","8.018","481217","98","17.07.2015, 09:21","0"
"О чём говорят мужчины 2010","","7.802","329239","93","17.07.2015, 09:20","0"
"Великий Гэтсби 2013","The Great Gatsby","7.944","440327","143","17.07.2015, 09:20","0"
